resultado;entrada;computacao;entrada_saida;usuario;sistema
69;20;2336.00000;285.00000;0.00000;2336.00000
76;60;1733.00000;217.00000;0.00000;1733.00000
69;27;1980.00000;214.00000;0.00000;1980.00000
1;91;1856.00000;239.00000;0.00000;1856.00000
82;54;1707.00000;199.00000;1707.00000;0.00000
1;1;1828.00000;183.00000;1828.00000;0.00000
67;12;2001.00000;209.00000;2001.00000;0.00000
1;56;1803.00000;226.00000;1803.00000;0.00000
1;63;1852.00000;222.00000;0.00000;1852.00000
1;6;2109.00000;198.00000;2109.00000;0.00000
1;48;1729.00000;201.00000;1729.00000;0.00000
1;143;1782.00000;262.00000;1782.00000;0.00000
1;36;1769.00000;223.00000;1769.00000;0.00000
1;75;1763.00000;216.00000;0.00000;1763.00000
1;60;1927.00000;288.00000;1927.00000;0.00000
1;84;1727.00000;223.00000;1727.00000;0.00000
1;135;2304.00000;275.00000;2304.00000;0.00000
1;42;2006.00000;219.00000;2006.00000;0.00000
1;72;1822.00000;223.00000;1822.00000;0.00000
130;20;1692.00000;183.00000;1692.00000;0.00000
227;22;1921.00000;225.00000;1921.00000;0.00000
140;20;1679.00000;186.00000;1679.00000;0.00000
89;120;2111.00000;378.00000;2111.00000;0.00000
76;75;1756.00000;224.00000;1756.00000;0.00000
67;135;1803.00000;253.00000;0.00000;1803.00000
57;24;1898.00000;193.00000;0.00000;1898.00000
1;10;1750.00000;177.00000;1750.00000;0.00000
63;90;1718.00000;231.00000;1718.00000;0.00000
1;65;2438.00000;335.00000;2438.00000;0.00000
1;26;1809.00000;218.00000;0.00000;1809.00000
135;36;1655.00000;185.00000;1655.00000;0.00000
1;77;1811.00000;231.00000;0.00000;1811.00000
1;24;2261.00000;320.00000;2261.00000;0.00000
1;70;1785.00000;225.00000;1785.00000;0.00000
1;180;1819.00000;290.00000;0.00000;1819.00000
1;99;1737.00000;238.00000;1737.00000;0.00000
18;91;1885.00000;250.00000;0.00000;1885.00000
28;13;1768.00000;172.00000;0.00000;1768.00000
26;36;1836.00000;206.00000;1836.00000;0.00000
55;4;1954.00000;193.00000;1954.00000;0.00000
1;40;2185.00000;227.00000;2185.00000;0.00000
1;45;1745.00000;212.00000;1745.00000;0.00000
1;81;1982.00000;282.00000;1982.00000;0.00000
76;182;1908.00000;315.00000;0.00000;1908.00000
172;77;1898.00000;219.00000;1898.00000;0.00000
1;108;1907.00000;253.00000;1907.00000;0.00000
71;96;1871.00000;278.00000;0.00000;1871.00000
171;12;1777.00000;178.00000;0.00000;1777.00000
58;16;2325.00000;248.00000;0.00000;2325.00000
52;48;1751.00000;220.00000;1751.00000;0.00000
37;28;1942.00000;215.00000;1942.00000;0.00000
36;42;1699.00000;192.00000;1699.00000;0.00000
47;9;1722.00000;188.00000;1722.00000;0.00000
82;50;1680.00000;205.00000;1680.00000;0.00000
1;55;1275.00000;150.00000;1275.00000;0.00000
1;72;1894.00000;219.00000;0.00000;1894.00000
312;10;2105.00000;306.00000;2105.00000;0.00000
1;77;2024.00000;243.00000;2024.00000;0.00000
58;104;1875.00000;253.00000;1875.00000;0.00000
71;90;1897.00000;253.00000;0.00000;1897.00000
1;28;1726.00000;186.00000;1726.00000;0.00000
30;99;1994.00000;251.00000;0.00000;1994.00000
1;117;1749.00000;256.00000;1749.00000;0.00000
174;13;2808.00000;350.00000;2808.00000;0.00000
53;16;1844.00000;199.00000;0.00000;1844.00000
103;14;2037.00000;204.00000;0.00000;2037.00000
1;108;1868.00000;280.00000;0.00000;1868.00000
85;49;1776.00000;210.00000;1776.00000;0.00000
17;91;2202.00000;255.00000;0.00000;2202.00000
1;35;1875.00000;200.00000;1875.00000;0.00000
10;81;2040.00000;261.00000;0.00000;2040.00000
160;52;1486.00000;260.00000;1486.00000;0.00000
1;44;1821.00000;217.00000;0.00000;1821.00000
22;110;2417.00000;334.00000;0.00000;2417.00000
78;26;1856.00000;205.00000;0.00000;1856.00000
3;56;2184.00000;303.00000;2184.00000;0.00000
50;40;2448.00000;324.00000;0.00000;2448.00000
77;48;1884.00000;208.00000;1884.00000;0.00000
1;45;1866.00000;237.00000;1866.00000;0.00000
1;70;1856.00000;222.00000;0.00000;1856.00000
63;110;2549.00000;393.00000;2549.00000;0.00000
204;20;1777.00000;195.00000;1777.00000;0.00000
1;16;2035.00000;182.00000;2035.00000;0.00000
217;7;2036.00000;298.00000;0.00000;2036.00000
1;66;1923.00000;236.00000;1923.00000;0.00000
74;70;1844.00000;216.00000;0.00000;1844.00000
51;132;1770.00000;280.00000;1770.00000;0.00000
1;156;1771.00000;283.00000;1771.00000;0.00000
1;56;1967.00000;249.00000;1967.00000;0.00000
1;84;1957.00000;234.00000;1957.00000;0.00000
34;75;1890.00000;223.00000;1890.00000;0.00000
1;35;2002.00000;233.00000;2002.00000;0.00000
1;5;2080.00000;210.00000;0.00000;2080.00000
1;55;1888.00000;217.00000;1888.00000;0.00000
11;9;1780.00000;180.00000;1780.00000;0.00000
1;15;1901.00000;188.00000;1901.00000;0.00000
1;84;1832.00000;247.00000;1832.00000;0.00000
25;104;2184.00000;320.00000;0.00000;2184.00000
81;63;1788.00000;220.00000;1788.00000;0.00000
