resultado;entrada;computacao;entrada_saida;usuario;sistema
1;30;2031.00000;236.00000;2031.00000;0.00000
83;80;1755.00000;222.00000;1755.00000;0.00000
1;66;456.00000;55.00000;456.00000;0.00000
145;12;2170.00000;279.00000;2170.00000;0.00000
1;48;526.00000;55.00000;526.00000;0.00000
1;40;1718.00000;196.00000;1718.00000;0.00000
80;3;1718.00000;179.00000;1718.00000;0.00000
70;60;2130.00000;280.00000;2130.00000;0.00000
1;182;2180.00000;477.00000;0.00000;2180.00000
1;15;1808.00000;185.00000;0.00000;1808.00000
17;70;2253.00000;266.00000;0.00000;2253.00000
1;3;1687.00000;165.00000;1687.00000;0.00000
1;18;2287.00000;265.00000;2287.00000;0.00000
1;10;1734.00000;173.00000;0.00000;1734.00000
1;24;2135.00000;222.00000;2135.00000;0.00000
122;72;1864.00000;299.00000;1864.00000;0.00000
76;35;1733.00000;195.00000;1733.00000;0.00000
15;42;1974.00000;298.00000;1974.00000;0.00000
1;45;1252.00000;151.00000;1252.00000;0.00000
1;169;1820.00000;286.00000;0.00000;1820.00000
97;40;2004.00000;222.00000;0.00000;2004.00000
1;4;1818.00000;178.00000;1818.00000;0.00000
1;13;1815.00000;189.00000;1815.00000;0.00000
1;84;1797.00000;228.00000;1797.00000;0.00000
14;75;2017.00000;250.00000;2017.00000;0.00000
272;30;1758.00000;196.00000;0.00000;1758.00000
88;110;2107.00000;289.00000;0.00000;2107.00000
100;6;1997.00000;199.00000;0.00000;1997.00000
1;1;2027.00000;200.00000;2027.00000;0.00000
1;40;1990.00000;239.00000;1990.00000;0.00000
38;12;692.00000;67.00000;692.00000;0.00000
75;30;1440.00000;149.00000;1440.00000;0.00000
53;30;779.00000;100.00000;779.00000;0.00000
138;15;1049.00000;118.00000;1049.00000;0.00000
39;72;1844.00000;234.00000;0.00000;1844.00000
54;195;1703.00000;79.00000;0.00000;1703.00000
49;110;2037.00000;281.00000;2037.00000;0.00000
1;35;1757.00000;200.00000;1757.00000;0.00000
1;52;2045.00000;224.00000;2045.00000;0.00000
4;121;2439.00000;408.00000;2439.00000;0.00000
1;64;2039.00000;229.00000;0.00000;2039.00000
1;39;2047.00000;219.00000;2047.00000;0.00000
1;11;718.00000;72.00000;718.00000;0.00000
1;66;1218.00000;154.00000;1218.00000;0.00000
1;84;1808.00000;235.00000;0.00000;1808.00000
1;14;807.00000;89.00000;807.00000;0.00000
44;60;1820.00000;209.00000;0.00000;1820.00000
1;84;2049.00000;255.00000;0.00000;2049.00000
1;32;1730.00000;192.00000;1730.00000;0.00000
140;104;1853.00000;256.00000;1853.00000;0.00000
