resultado;entrada;computacao;entrada_saida;usuario;sistema
1;30;1846.00000;207.00000;0.00000;1846.00000
83;80;2901.00000;1498.00000;0.00000;2901.00000
1;66;515.00000;138.00000;515.00000;0.00000
145;12;1928.00000;183.00000;0.00000;1928.00000
1;48;455.00000;63.00000;455.00000;0.00000
1;40;1892.00000;252.00000;0.00000;1892.00000
80;3;2076.00000;180.00000;0.00000;2076.00000
70;60;2236.00000;521.00000;2236.00000;0.00000
1;182;167165.00000;165448.00000;167165.00000;0.00000
1;15;1591.00000;163.00000;1591.00000;0.00000
17;70;2774.00000;901.00000;2774.00000;0.00000
1;3;1617.00000;159.00000;1617.00000;0.00000
1;18;1885.00000;197.00000;1885.00000;0.00000
1;10;1581.00000;163.00000;1581.00000;0.00000
1;24;1844.00000;211.00000;1844.00000;0.00000
122;72;2493.00000;890.00000;2493.00000;0.00000
76;35;1552.00000;192.00000;1552.00000;0.00000
15;42;1787.00000;207.00000;1787.00000;0.00000
1;45;1048.00000;147.00000;1048.00000;0.00000
1;169;103638.00000;102211.00000;103638.00000;0.00000
97;40;2120.00000;320.00000;0.00000;2120.00000
1;4;1639.00000;155.00000;1639.00000;0.00000
1;13;1715.00000;173.00000;0.00000;1715.00000
1;84;3066.00000;1620.00000;0.00000;3066.00000
14;75;2387.00000;772.00000;2387.00000;0.00000
272;30;1638.00000;225.00000;1638.00000;0.00000
88;110;12956.00000;11351.00000;12956.00000;0.00000
100;6;1850.00000;218.00000;1850.00000;0.00000
1;1;1906.00000;177.00000;0.00000;1906.00000
1;40;1775.00000;272.00000;1775.00000;0.00000
38;12;570.00000;57.00000;570.00000;0.00000
75;30;1130.00000;123.00000;1130.00000;0.00000
53;30;891.00000;101.00000;891.00000;0.00000
138;15;1081.00000;114.00000;0.00000;1081.00000
39;72;2200.00000;809.00000;2200.00000;0.00000
54;195;234097.00000;233761.00000;234097.00000;0.00000
49;110;12583.00000;11051.00000;12583.00000;0.00000
1;35;1724.00000;206.00000;0.00000;1724.00000
1;52;1970.00000;311.00000;1970.00000;0.00000
4;121;22199.00000;20562.00000;22199.00000;0.00000
1;64;2359.00000;711.00000;2359.00000;0.00000
1;39;1918.00000;230.00000;0.00000;1918.00000
1;11;614.00000;59.00000;614.00000;0.00000
1;66;1588.00000;491.00000;1588.00000;0.00000
1;84;3270.00000;1829.00000;3270.00000;0.00000
1;14;691.00000;66.00000;691.00000;0.00000
44;60;1710.00000;294.00000;1710.00000;0.00000
1;84;3255.00000;1630.00000;0.00000;3255.00000
1;32;1750.00000;194.00000;0.00000;1750.00000
140;104;6276.00000;4813.00000;3138.00000;3138.00000
