resultado;entrada;computacao;entrada_saida;usuario;sistema
177;26908875;4091886.00000;4091592.00000;3995889.00000;95997.00000
1;1277340;432612.00000;431863.00000;420595.00000;12017.00000
201;10196498;1527625.00000;1527644.00000;1491634.00000;35991.00000
76;22204650;4078076.00000;4077809.00000;4002038.00000;76038.00000
17;32271829;4788266.00000;4788022.00000;4704262.00000;84004.00000
1;5435577;818822.00000;818426.00000;802767.00000;16055.00000
104;225125;37673.00000;37265.00000;37673.00000;0.00000
343;65637264;10738433.00000;10738313.00000;10470373.00000;268060.00000
345;39522289;8319978.00000;8319921.00000;8167979.00000;151999.00000
1;56674720;11407041.00000;11407120.00000;11175061.00000;231980.00000
1;61781303;12135941.00000;12136200.00000;11871943.00000;263998.00000
111;8426520;1245495.00000;1245070.00000;1217552.00000;27943.00000
46;63747944;12556708.00000;12556869.00000;12280693.00000;276015.00000
166;2932848;435865.00000;435459.00000;423758.00000;12107.00000
1;1061414;147684.00000;147274.00000;147684.00000;0.00000
1;3909225;585698.00000;585296.00000;577730.00000;7968.00000
162;7966740;1223428.00000;1223060.00000;1203372.00000;20056.00000
1;50372010;10384991.00000;10385144.00000;10145061.00000;239930.00000
149;2498354;355451.00000;355059.00000;343470.00000;11981.00000
240;7743180;1152875.00000;1152502.00000;1104839.00000;48036.00000
354;5020806;749147.00000;748762.00000;733123.00000;16024.00000
19;6461832;986731.00000;986297.00000;970752.00000;15979.00000
120;17538927;2620399.00000;2620027.00000;2556390.00000;64009.00000
166;16047752;2421521.00000;2421237.00000;2385499.00000;36022.00000
78;16441029;2390783.00000;2390454.00000;2318820.00000;71963.00000
192;6678800;995036.00000;994521.00000;951079.00000;43957.00000
181;62998494;11668819.00000;11669056.00000;11348687.00000;320132.00000
102;2143632;317916.00000;317511.00000;309868.00000;8048.00000
79;575608;86697.00000;86264.00000;82757.00000;3940.00000
56;5398659;831328.00000;830755.00000;819338.00000;11990.00000
1;24198720;3695658.00000;3695422.00000;3607667.00000;87991.00000
1;70051968;12170223.00000;12169978.00000;11838163.00000;332060.00000
1;14689604;2253339.00000;2253045.00000;2197306.00000;56033.00000
225;54663942;8488856.00000;8489913.00000;8312922.00000;175934.00000
141;4212170;609837.00000;609348.00000;593894.00000;15943.00000
244;60983894;9554017.00000;9555077.00000;9338062.00000;215955.00000
1;17379168;2535092.00000;2535161.00000;2471115.00000;63977.00000
1;22593204;3464934.00000;3465492.00000;3376911.00000;88023.00000
1;86860312;14236337.00000;14238411.00000;13904423.00000;331914.00000
405;22198044;3296296.00000;3295969.00000;3184286.00000;112010.00000
106;3204396;453231.00000;452933.00000;433177.00000;20054.00000
1;25317780;3902204.00000;3902427.00000;3786258.00000;115946.00000
1;32282432;4923843.00000;4924320.00000;4779848.00000;143995.00000
