resultado;entrada;computacao;entrada_saida;usuario;Sistema
1;870;2977.000;982.000;0.000;2977.000
1;3900;4926.000;3178.000;4926.000;0.000
80;1326;3032.000;1197.000;0.000;3032.000
10;440;2638.000;643.000;0.000;2638.000
95;2035;3658.000;1801.000;3658.000;0.000
115;3337;4518.000;2706.000;0.000;4518.000
263;1280;2992.000;1197.000;0.000;2992.000
1;5934;4035.000;3083.000;0.000;4035.000
90;558;1724.000;436.000;1724.000;0.000
1;2673;1337.000;681.000;0.000;1337.000
161;1272;3121.000;1337.000;3121.000;0.000
1;2214;4102.000;2165.000;0.000;4102.000
1;2720;4519.000;2554.000;0.000;4519.000
241;660;2787.000;846.000;0.000;2787.000
