resultado;entrada;computacao;entrada_saida;usuario;sistema
202;59923081;9894920.00000;9894722.00000;9658946.00000;235974.00000
149;93741124;15885063.00000;15884721.00000;15433147.00000;451916.00000
1;6225025;945722.00000;945352.00000;921780.00000;23942.00000
239;2839225;422096.00000;421688.00000;410150.00000;11946.00000
1;43718544;8966794.00000;8966693.00000;8766732.00000;200062.00000
1;35928036;7727737.00000;7727483.00000;7559743.00000;167994.00000
240;13140625;1929540.00000;1929388.00000;1877607.00000;51933.00000
1;47596201;9765101.00000;9764847.00000;9549077.00000;216024.00000
1;98128836;20105996.00000;20106181.00000;19678039.00000;427957.00000
1;30063289;4606884.00000;4606518.00000;4514907.00000;91977.00000
1;64;1657.00000;214.00000;0.00000;1657.00000
1;66455104;13036282.00000;13036120.00000;12760277.00000;276005.00000
1;28965924;4443843.00000;4443532.00000;4351847.00000;91996.00000
1;36445369;5871305.00000;5872334.00000;5779316.00000;91989.00000
41;57501889;8950935.00000;8950554.00000;8742960.00000;207975.00000
85;55457809;13163363.00000;13162916.00000;12863378.00000;299985.00000
1;21077281;3187079.00000;3186753.00000;3103104.00000;83975.00000
1;36844900;5626533.00000;5626226.00000;5486570.00000;139963.00000
5;1790244;272205.00000;271794.00000;272205.00000;0.00000
77;10195249;1539115.00000;1538924.00000;1499034.00000;40081.00000
70;78996544;17093511.00000;17093544.00000;16793485.00000;300026.00000
1;27804529;4455861.00000;4455494.00000;4347865.00000;107996.00000
142;53978409;11308404.00000;11308198.00000;11096397.00000;212007.00000
70;27615025;4969856.00000;4969489.00000;4869900.00000;99956.00000
200;8892324;1359803.00000;1359036.00000;1327808.00000;31995.00000
1;52838361;10799890.00000;10799979.00000;10607892.00000;191998.00000
243;37957921;5810680.00000;5810519.00000;5698706.00000;111974.00000
1;24088464;4010655.00000;4010357.00000;3902692.00000;107963.00000
1;467856;158374.00000;157595.00000;154415.00000;3959.00000
1;16540489;2585336.00000;2585034.00000;2529308.00000;56028.00000
1;29408929;5728765.00000;5728532.00000;5616751.00000;112014.00000
153;753424;260343.00000;259570.00000;252333.00000;8010.00000
12;31832164;4852162.00000;4852014.00000;4760235.00000;91927.00000
174;47251876;9853601.00000;9853584.00000;9633655.00000;219946.00000
1;15523600;2351359.00000;2350985.00000;2311370.00000;39989.00000
190;46362481;9555408.00000;9555162.00000;9383347.00000;172061.00000
197;7392961;1113192.00000;1112869.00000;1093243.00000;19949.00000
1;7711729;1163198.00000;1162805.00000;1159187.00000;4011.00000
309;95199049;15107004.00000;15107464.00000;14775026.00000;331978.00000
185;28259856;4451990.00000;4451933.00000;4339991.00000;111999.00000
1;91317136;19762053.00000;19762270.00000;19334096.00000;427957.00000
322;77264100;17316337.00000;17316654.00000;16976331.00000;340006.00000
18;62964225;10013590.00000;10013876.00000;9817403.00000;196187.00000
215;7420176;1147839.00000;1147447.00000;1127842.00000;19997.00000
1;95082001;19971672.00000;19971727.00000;19587679.00000;383993.00000
61;297025;46325.00000;45886.00000;46325.00000;0.00000
39;1822500;273544.00000;273139.00000;265499.00000;8045.00000
94;10712529;1636919.00000;1636554.00000;1616908.00000;20011.00000
10;73891216;12756526.00000;12756865.00000;12448514.00000;308012.00000
1;23097636;3537653.00000;3537841.00000;3473624.00000;64029.00000
69;41757444;8999426.00000;9002237.00000;8803526.00000;195900.00000
480;3908529;598441.00000;597961.00000;586473.00000;11968.00000
219;52243984;12562594.00000;12562549.00000;12286625.00000;275969.00000
93;30976;5567.00000;5013.00000;5567.00000;0.00000
1;7263025;1134611.00000;1134221.00000;1082675.00000;51936.00000
170;79245604;13098991.00000;13099033.00000;12747019.00000;351972.00000
1;48580900;10203047.00000;10202968.00000;10010990.00000;192057.00000
42;89946256;19399348.00000;19399864.00000;19011362.00000;387986.00000
1;98565184;16186612.00000;16189559.00000;15886638.00000;299974.00000
1;35676729;5668348.00000;5668324.00000;5548426.00000;119922.00000
1;17422276;2681764.00000;2681413.00000;2617722.00000;64042.00000
1;31719424;7345763.00000;7345504.00000;7181724.00000;164039.00000
228;364816;55672.00000;55276.00000;51696.00000;3976.00000
1;73307844;11523636.00000;11525805.00000;11291644.00000;231992.00000
260;19175641;2941002.00000;2940603.00000;2864977.00000;76025.00000
268;20884900;3188790.00000;3188499.00000;3108771.00000;80019.00000
1;7155625;1095390.00000;1094935.00000;1075402.00000;19988.00000
82;22867524;3543268.00000;3542939.00000;3463285.00000;79983.00000
1;60279696;11935515.00000;11943167.00000;11599642.00000;335873.00000
1;72437121;11413632.00000;11414119.00000;11177681.00000;235951.00000
1;52229529;9595720.00000;9596310.00000;9387727.00000;207993.00000
1;25857225;3968793.00000;3968456.00000;3872774.00000;96019.00000
1;67930564;10727455.00000;10727658.00000;10487468.00000;239987.00000
220;40678884;6206634.00000;6206882.00000;6050669.00000;155965.00000
122;32080896;4897673.00000;4897418.00000;4785635.00000;112038.00000
1;81270225;12930591.00000;12933337.00000;12710615.00000;219976.00000
1;21846276;3294883.00000;3294533.00000;3214911.00000;79972.00000
1;73564929;11709817.00000;11713510.00000;11389768.00000;320049.00000
367;6205081;980275.00000;980044.00000;964271.00000;16004.00000
1;1612900;235751.00000;235222.00000;231756.00000;3995.00000
179;92756161;14669547.00000;14671111.00000;14381596.00000;287951.00000
135;4268356;647568.00000;647163.00000;627582.00000;19986.00000
1;41242084;8759656.00000;8759438.00000;8639661.00000;119995.00000
1;47032164;7246474.00000;7246223.00000;7070512.00000;175962.00000
1;7756225;1164714.00000;1164377.00000;1144702.00000;20012.00000
1;3125824;471193.00000;470808.00000;467200.00000;3993.00000
110;81522841;12981390.00000;12981734.00000;12701447.00000;279943.00000
18;22500;4053.00000;3609.00000;4053.00000;0.00000
1;2798929;420755.00000;420371.00000;408734.00000;12021.00000
42;11868025;1824390.00000;1823925.00000;1772379.00000;52011.00000
