resultado;entrada;computacao;entrada_saida;usuario;sistema
69;20;1798.00000;185.00000;1798.00000;0.00000
76;60;2574.00000;586.00000;0.00000;2574.00000
69;27;1636.00000;190.00000;1636.00000;0.00000
1;91;5676.00000;3153.00000;2838.00000;2838.00000
82;54;1949.00000;367.00000;0.00000;1949.00000
1;1;1853.00000;171.00000;1853.00000;0.00000
67;12;1604.00000;170.00000;1604.00000;0.00000
1;56;2041.00000;424.00000;2041.00000;0.00000
1;63;2378.00000;614.00000;2378.00000;0.00000
1;6;2265.00000;184.00000;0.00000;2265.00000
1;48;1770.00000;299.00000;1770.00000;0.00000
1;143;46369.00000;45566.00000;42154.00000;4215.00000
1;36;2040.00000;319.00000;2040.00000;0.00000
1;75;2142.00000;733.00000;2142.00000;0.00000
1;60;1990.00000;338.00000;0.00000;1990.00000
1;84;3168.00000;1554.00000;3168.00000;0.00000
1;135;32110.00000;30394.00000;28097.00000;4013.00000
1;42;2129.00000;238.00000;2129.00000;0.00000
1;72;2695.00000;1158.00000;2695.00000;0.00000
130;20;1616.00000;181.00000;0.00000;1616.00000
227;22;2370.00000;275.00000;2370.00000;0.00000
140;20;1586.00000;177.00000;1586.00000;0.00000
89;120;20971.00000;18895.00000;20971.00000;0.00000
76;75;2468.00000;800.00000;2468.00000;0.00000
67;135;31151.00000;29764.00000;31151.00000;0.00000
57;24;1927.00000;186.00000;1927.00000;0.00000
1;10;1983.00000;170.00000;0.00000;1983.00000
63;90;4446.00000;2911.00000;2223.00000;2223.00000
1;65;2671.00000;707.00000;0.00000;2671.00000
1;26;1765.00000;262.00000;0.00000;1765.00000
135;36;1656.00000;201.00000;0.00000;1656.00000
1;77;2841.00000;1134.00000;2841.00000;0.00000
1;24;1608.00000;184.00000;1608.00000;0.00000
1;70;2324.00000;843.00000;2324.00000;0.00000
1;180;145592.00000;144184.00000;145592.00000;0.00000
1;99;6798.00000;5236.00000;6798.00000;0.00000
18;91;4185.00000;2624.00000;4185.00000;0.00000
28;13;1591.00000;156.00000;1591.00000;0.00000
26;36;1799.00000;198.00000;1799.00000;0.00000
55;4;1858.00000;204.00000;0.00000;1858.00000
1;40;1756.00000;221.00000;0.00000;1756.00000
1;45;1963.00000;241.00000;0.00000;1963.00000
1;81;2988.00000;1568.00000;2988.00000;0.00000
76;182;161286.00000;159018.00000;157254.00000;4032.00000
172;77;3677.00000;1702.00000;3677.00000;0.00000
1;108;10512.00000;9032.00000;7008.00000;3504.00000
71;96;5344.00000;3917.00000;5344.00000;0.00000
171;12;1677.00000;168.00000;1677.00000;0.00000
58;16;1788.00000;182.00000;0.00000;1788.00000
52;48;1803.00000;262.00000;1803.00000;0.00000
37;28;1754.00000;192.00000;0.00000;1754.00000
36;42;1846.00000;256.00000;0.00000;1846.00000
47;9;1664.00000;165.00000;0.00000;1664.00000
82;50;1843.00000;311.00000;0.00000;1843.00000
1;55;1353.00000;234.00000;1353.00000;0.00000
1;72;2372.00000;875.00000;0.00000;2372.00000
312;10;2317.00000;234.00000;2317.00000;0.00000
1;77;2942.00000;1147.00000;2942.00000;0.00000
58;104;8313.00000;6737.00000;8313.00000;0.00000
71;90;4403.00000;2759.00000;4403.00000;0.00000
1;28;1726.00000;190.00000;1726.00000;0.00000
30;99;7064.00000;5634.00000;3532.00000;3532.00000
1;117;17506.00000;15864.00000;14005.00000;3501.00000
174;13;1849.00000;169.00000;1849.00000;0.00000
53;16;1681.00000;168.00000;1681.00000;0.00000
103;14;1596.00000;157.00000;1596.00000;0.00000
1;108;11593.00000;9687.00000;11593.00000;0.00000
85;49;1910.00000;302.00000;0.00000;1910.00000
17;91;4039.00000;2590.00000;4039.00000;0.00000
1;35;1907.00000;236.00000;1907.00000;0.00000
10;81;3305.00000;1638.00000;3305.00000;0.00000
160;52;1243.00000;182.00000;1243.00000;0.00000
1;44;1722.00000;234.00000;1722.00000;0.00000
22;110;12062.00000;10563.00000;12062.00000;0.00000
78;26;1898.00000;236.00000;0.00000;1898.00000
3;56;2281.00000;406.00000;0.00000;2281.00000
50;40;2468.00000;348.00000;2468.00000;0.00000
77;48;2005.00000;278.00000;0.00000;2005.00000
1;45;1883.00000;299.00000;1883.00000;0.00000
1;70;2194.00000;537.00000;2194.00000;0.00000
63;110;12490.00000;10983.00000;8327.00000;4163.00000
204;20;1768.00000;174.00000;0.00000;1768.00000
1;16;1742.00000;185.00000;1742.00000;0.00000
217;7;1659.00000;162.00000;1659.00000;0.00000
1;66;2137.00000;570.00000;2137.00000;0.00000
74;70;2291.00000;572.00000;2291.00000;0.00000
51;132;33259.00000;32320.00000;29564.00000;3695.00000
1;156;62346.00000;61469.00000;58190.00000;4156.00000
1;56;2067.00000;388.00000;0.00000;2067.00000
1;84;3181.00000;1681.00000;3181.00000;0.00000
34;75;2426.00000;911.00000;2426.00000;0.00000
1;35;2290.00000;245.00000;2290.00000;0.00000
1;5;1841.00000;200.00000;0.00000;1841.00000
1;55;1879.00000;336.00000;0.00000;1879.00000
11;9;1864.00000;178.00000;0.00000;1864.00000
1;15;1905.00000;259.00000;1905.00000;0.00000
1;84;3398.00000;1386.00000;0.00000;3398.00000
25;104;8129.00000;6664.00000;8129.00000;0.00000
81;63;1975.00000;548.00000;1975.00000;0.00000
